GroupAb,GroupNm
ALP,Labor
LPNP,Liberal & Nationals
GRN,The Greens
HMP,Legalise Cannabis Party
CYA,Trumpet of Patriots
AJP,Animal Justice Party
AV,Australia's Voice
AUC,Australian Christians
CEC,Citizens Party
SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation
FFPA,Family First
IAP,Indigenous - Aboriginal Party of Australia
JLN,Jacqui Lambie Network
PFHL,Libertarian / HEART / Gerard Rennick People First
ON,Pauline Hanson's One Nation
SAL,Socialist Alliance
SPP,Sustainable Australia Party - Universal Basic Income
UNAM,Unendorsed/Ungrouped Amalgamated
ALP,Australian Labor Party
LPNP,Liberal/The Nationals
LTP,Libertarian
AUD,Australian Democrats
GRHE,Gerard Rennick People First - Heart
ASP,"Shooters, Fishers and Farmers Party"
VNS,Victorian Socialists
LNP,LNP
GRKA,Gerard Rennick People First|Katter's Australian Party
GAHE,Great Australian Party & HEART Party
LP,Liberal
NP,The Nationals
GRN,The Greens (WA)
SOPA,FUSION
GRPF,Gerard Rennick People First
ON,One Nation
SPP,Sustainable Australia Party
GAP,GAP
NP,National Party
DAVI,David Pocock
HETP,HEART/LIBERTARIAN
GRN,Australian Greens
ALP,Australian Labor Party (Northern Territory) Branch
CLP,NT CLP
