PartyAb,PartyNm
UAPP,United Australia Party
ON,Pauline Hanson's One Nation
ALP,Australian Labor Party
IND,Independent
GRN,The Greens
LP,Liberal
NA,Informal
LDP,Liberal Democrats
NAFD,NA
ALP,Labor
SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency"
DPDA,Democratic Alliance
CYA,Australian Federation Party
NP,The Nationals
CEC,Citizens Party
SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption
AUD,Australian Democrats
IMO,Informed Medical Options Party
ASP,"Shooters, Fishers and Farmers Party"
AJP,Animal Justice Party
TNL,TNL
IAP,Indigenous - Aboriginal Party of Australia
SAL,Socialist Alliance
CLP,NT CLP
ALP,A.L.P.
GRN,Queensland Greens
AUVA,Australian Values Party
LNP,Liberal National Party of Queensland
GAP,The Great Australian Party
KAP,Katter's Australian Party (KAP)
HMP,Legalise Cannabis Australia
AUP,Australian Progressives
NP,National Party
XEN,Centre Alliance
DPDA,Drew Pavlou Democratic Alliance
JLN,Jacqui Lambie Network
TLOC,The Local Party
VNS,Victorian Socialists
DHJP,Derryn Hinch's Justice Party
REAS,Reason Australia
GRN,The Greens (WA)
AUC,Australian Christians
WAP,WESTERN AUSTRALIA PARTY
